CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
146.7,3.25,3475.7,2.0580000000000003,10988.531
147.1,3.34,3480.1,2.069,11037.946
147.2,3.56,3481.3,2.08,11087.361
147.5,4.01,3490.8,2.087666666666667,11108.966
147.9,4.25,3479.5,2.0953333333333335,11130.571
148.4,4.26,3488.2,2.103,11152.176
149.0,4.47,3485.7,2.115,11194.761333333334
149.3,4.73,3486.1,2.127,11237.346666666666
149.4,4.76,3484.3,2.139,11279.932
149.8,5.29,3487.2,2.144333333333333,11293.271666666667
150.1,5.45,3486.4,2.1496666666666666,11306.611333333332
150.5,5.53,3492.4,2.155,11319.951
150.9,5.92,3489.9,2.1536666666666666,11331.207666666665
151.2,5.98,3491.1,2.152333333333333,11342.464333333333
151.8,6.05,3499.2,2.151,11353.721
152.1,6.01,3524.2,2.1479999999999997,11385.917333333333
152.4,6.0,3548.9,2.145,11418.113666666666
152.6,5.85,3567.4,2.142,11450.31
152.9,5.74,3589.0,2.1436666666666664,11476.229
153.1,5.8,3602.1,2.1453333333333333,11502.148
153.5,5.76,3613.4,2.147,11528.067
153.7,5.8,3619.9,2.147,11556.850666666665
153.9,5.6,3629.5,2.147,11585.634333333333
154.7,5.56,3647.9,2.147,11614.418
155.0,5.22,3661.8,2.153,11678.992
155.5,5.31,3686.9,2.159,11743.565999999999
156.1,5.22,3697.7,2.165,11808.14
156.4,5.24,3709.6,2.167,11843.447666666667
156.7,5.27,3722.5,2.169,11878.755333333333
157.0,5.4,3737.1,2.171,11914.063
157.2,5.22,3744.0,2.1726666666666667,11955.300333333333
157.7,5.3,3753.4,2.1743333333333332,11996.537666666667
158.2,5.24,3772.8,2.176,12037.775
158.7,5.31,3795.1,2.1753333333333336,12063.673999999999
159.1,5.29,3818.6,2.1746666666666665,12089.573
159.4,5.25,3834.6,2.174,12115.472
159.7,5.19,3846.3,2.179333333333333,12182.721666666666
159.8,5.39,3861.2,2.1846666666666668,12249.971333333333
159.9,5.51,3877.0,2.19,12317.221
159.9,5.5,3889.2,2.1906666666666665,12368.484
160.2,5.56,3906.0,2.1913333333333336,12419.747
